Sample	Timepoint	Cluster	Date
EM095	1	1.0	25-May-14
EM095B	1	1.0	25-May-14
G3676	1	1.0	27-May-14
G3676	2	1.0	6-Jun-14
G3680	1	1.1	28-May-14
G3683	1	1.1	28-May-14
G3687	1	1.1	28-May-14
G3686	1	1.2	28-May-14
EM098	1	2.0	26-May-14
G3677	1	2.0	26-May-14
G3677	2	2.0	27-May-14
G3682	1	2.0	28-May-14
G3729	1	2.0	7-Jun-14
G3734	1	2.0	7-Jun-14
G3758	1	2.0	11-Jun-14
G3782	1	2.0	14-Jun-14
G3786	1	2.0	14-Jun-14
G3795	1	2.0	15-Jun-14
G3796	1	2.0	15-Jun-14
G3800	1	2.0	15-Jun-14
G3807	1	2.0	15-Jun-14
G3808	1	2.0	15-Jun-14
G3820	1	2.0	15-Jun-14
G3838	1	2.0	17-Jun-14
G3841	1	2.0	17-Jun-14
EM120	1	2.1	3-Jun-14
EM121	1	2.1	4-Jun-14
G3788	1	2.1	14-Jun-14
G3799	1	2.1	15-Jun-14
G3823	1	2.1	15-Jun-14
G3670	1	2.2	27-May-14
G3769	1	2.2	12-Jun-14
G3769	2	2.2	13-Jun-14
G3769	3	2.2	15-Jun-14
G3769	4	2.2	16-Jun-14
G3810	1	2.2	15-Jun-14
G3810	2	2.2	17-Jun-14
EM096	1	2.21	26-May-14
G3679	1	2.21	28-May-14
G3787	1	2.22	14-Jun-14
G3831	1	2.22	16-Jun-14
EM106	1	3.0	2-Jun-14
EM110	1	3.0	3-Jun-14
EM111	1	3.0	3-Jun-14
EM112	1	3.0	3-Jun-14
EM113	1	3.0	3-Jun-14
EM115	1	3.0	3-Jun-14
EM124	1	3.0	4-Jun-14
EM124	2	3.0	6-Jun-14
EM124	3	3.0	8-Jun-14
EM124	4	3.0	9-Jun-14
G3707	1	3.0	31-May-14
G3735	1	3.0	7-Jun-14
G3735	2	3.0	9-Jun-14
G3764	1	3.0	12-Jun-14
G3765	2	3.0	14-Jun-14
G3771	1	3.0	12-Jun-14
G3789	1	3.0	14-Jun-14
G3798	1	3.0	15-Jun-14
G3805	1	3.0	15-Jun-14
G3805	2	3.0	20-Jun-14
G3814	1	3.0	15-Jun-14
G3840	1	3.0	17-Jun-14
G3845	1	3.0	18-Jun-14
G3850	1	3.0	18-Jun-14
NM042	1	3.0	4-Jun-14
NM042	2	3.0	9-Jun-14
NM042	3	3.0	12-Jun-14
EM104	1	3.1	2-Jun-14
G3713	2	3.1	9-Jun-14
G3713	3	3.1	11-Jun-14
G3713	4	3.1	13-Jun-14
G3724	1	3.1	5-Jun-14
G3750	1	3.1	10-Jun-14
G3750	2	3.1	12-Jun-14
G3750	3	3.1	14-Jun-14
G3819	1	3.1	15-Jun-14
G3856	1	3.1	18-Jun-14
G3856	3	3.1	20-Jun-14
G3826	1	3.11	16-Jun-14
G3827	1	3.11	16-Jun-14
G3809	1	3.12	15-Jun-14
G3816	1	3.12	15-Jun-14
G3821	1	3.12	15-Jun-14
G3822	1	3.12	15-Jun-14
G3752	1	3.13	10-Jun-14
G3825	1	3.13	16-Jun-14
G3825	2	3.13	17-Jun-14
G3834	1	3.13	17-Jun-14
G3848	1	3.13	18-Jun-14
G3851	1	3.13	18-Jun-14
G3857	1	3.13	18-Jun-14
G3829	1	3.131	16-Jun-14
G3818	1	3.2	15-Jun-14
G3846	1	3.2	18-Jun-14
EM119	1	3.21	3-Jun-14
G3770	1	3.21	12-Jun-14
G3770	2	3.21	14-Jun-14
G3817	1	3.3	15-Jun-14
